Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
60,01:06:32,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.8457,81.8457,11.9294,11.9294,301.9272,293.4975,0.5001,0.0
61,01:06:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.6064,81.6064,12.0718,12.0718,301.9114,293.4978,0.5001,0.0
62,01:06:34,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.3688,81.3688,12.2127,12.2127,301.8958,293.498,0.5001,0.0
63,01:06:35,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,81.1329,81.1329,12.3522,12.3522,301.8802,293.4982,0.5001,0.0
64,01:06:36,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.8985,80.8985,12.4903,12.4903,301.8646,293.4983,0.5001,0.0
65,01:06:37,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.6658,80.6658,12.6269,12.6269,301.8492,293.4984,0.5001,0.0
66,01:06:38,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.4347,80.4347,12.7622,12.7622,301.8337,293.4984,0.5001,0.0
67,01:06:39,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,80.2052,80.2052,12.8961,12.8961,301.8184,293.4984,0.5001,0.0
68,01:06:40,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.9773,79.9773,13.0286,13.0286,301.8031,293.4983,0.5001,0.0
69,01:06:41,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.7509,79.7509,13.1598,13.1598,301.7878,293.4982,0.5001,0.0
70,01:06:42,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.5261,79.5261,13.2897,13.2897,301.7726,293.4981,0.5001,0.0
71,01:06:43,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.3028,79.3028,13.4182,13.4182,301.7575,293.4979,0.5001,0.0
72,01:06:44,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,79.081,79.081,13.5454,13.5454,301.7424,293.4977,0.5001,0.0
73,01:06:45,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,78.8607,78.8607,13.6714,13.6714,301.7274,293.4975,0.5001,0.0
74,01:06:46,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,78.6419,78.6419,13.796,13.796,301.7124,293.4972,0.5001,0.0
75,01:06:47,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,78.4246,78.4246,13.9194,13.9194,301.6975,293.4969,0.5001,0.0
76,01:06:48,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,78.2087,78.2087,14.0416,14.0416,301.6827,293.4965,0.5001,0.0
77,01:06:49,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,77.9943,77.9943,14.1625,14.1625,301.6679,293.4962,0.5001,0.0
78,01:06:50,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,77.7813,77.7813,14.2821,14.2821,301.6532,293.4958,0.5001,0.0
79,01:06:51,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,77.5698,77.5698,14.4006,14.4006,301.6385,293.4954,0.5001,0.0
80,01:06:52,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,77.3596,77.3596,14.5178,14.5178,301.6238,293.495,0.5001,0.0
81,01:06:53,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,77.1509,77.1509,14.6339,14.6339,301.6093,293.4945,0.5001,0.0
82,01:06:54,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,76.9435,76.9435,14.7488,14.7488,301.5948,293.494,0.5001,0.0
83,01:06:55,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,76.7375,76.7375,14.8625,14.8625,301.5803,293.4936,0.5002,0.0
84,01:06:56,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,76.5329,76.5329,14.975,14.975,301.5659,293.493,0.5002,0.0
85,01:06:57,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,76.3296,76.3296,15.0865,15.0865,301.5515,293.4925,0.5002,0.0
86,01:06:59,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,76.1276,76.1276,15.1967,15.1967,301.5372,293.492,0.5002,0.0
87,01:07:00,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,75.927,75.927,15.3059,15.3059,301.523,293.4914,0.5002,0.0
88,01:07:01,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,75.7276,75.7276,15.414,15.414,301.5088,293.4909,0.5002,0.0
89,01:07:02,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,75.5296,75.5296,15.5209,15.5209,301.4947,293.4903,0.5002,0.0
90,01:07:03,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,75.3329,75.3329,15.6268,15.6268,301.4806,293.4897,0.5002,0.0
91,01:07:04,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,75.1374,75.1374,15.7316,15.7316,301.4666,293.4891,0.5002,0.0
92,01:07:05,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,74.9432,74.9432,15.8353,15.8353,301.4526,293.4885,0.5002,0.0
93,01:07:06,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,74.7503,74.7503,15.938,15.938,301.4387,293.4879,0.5002,0.0
94,01:07:07,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,74.5586,74.5586,16.0396,16.0396,301.4248,293.4873,0.5002,0.0
95,01:07:08,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,74.3682,74.3682,16.1402,16.1402,301.411,293.4867,0.5002,0.0
96,01:07:09,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,74.1789,74.1789,16.2398,16.2398,301.3972,293.486,0.5002,0.0
97,01:07:10,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.9909,73.9909,16.3383,16.3383,301.3835,293.4854,0.5002,0.0
98,01:07:11,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.8041,73.8041,16.4359,16.4359,301.3698,293.4847,0.5002,0.0
99,01:07:12,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.6185,73.6185,16.5325,16.5325,301.3562,293.4841,0.5002,0.0
100,01:07:13,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.434,73.434,16.628,16.628,301.3427,293.4834,0.5002,0.0
101,01:07:14,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.2508,73.2508,16.7226,16.7226,301.3292,293.4827,0.5002,0.0
102,01:07:15,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,73.0687,73.0687,16.8163,16.8163,301.3157,293.482,0.5002,0.0
103,01:07:16,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,72.8877,72.8877,16.9089,16.9089,301.3023,293.4814,0.5002,0.0
104,01:07:17,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,72.7079,72.7079,17.0007,17.0007,301.289,293.4807,0.5002,0.0
105,01:07:18,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,72.5292,72.5292,17.0914,17.0914,301.2757,293.48,0.5002,0.0
106,01:07:19,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,72.3517,72.3517,17.1813,17.1813,301.2624,293.4793,0.5002,0.0
