Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
45,23:41:24,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.74834973147111,46.74834973147111,3.251650268528883,3.251650268528883,302.9943030806994,293.0086001448282,0.16670054860337902,6.503300537057766,2.78e-06,50.0,3.2e-05,0.069341
46,23:41:25,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.68275521833888,46.68275521833888,3.3172447816611075,3.3172447816611075,302.9940712254878,293.00859994541463,0.1667005606395081,6.634489563322221,2.78e-06,50.0,3.2e-05,0.069146
47,23:41:26,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.61742745468752,46.61742745468752,3.382572545312473,3.382572545312473,302.99383810774975,293.0085997449133,0.1667005726689541,6.765145090624946,2.78e-06,50.0,3.2e-05,0.068952
48,23:41:27,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.552365086431664,46.552365086431664,3.4476349135683257,3.4476349135683257,302.99360374585194,293.00859954333987,0.16670058469172075,6.895269827136663,2.78e-06,50.0,3.2e-05,0.06876
49,23:41:28,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.487566768263605,46.487566768263605,3.5124332317363844,3.5124332317363844,302.99336815799086,293.00859934071013,0.16670059670781173,7.024866463472779,2.78e-06,50.0,3.2e-05,0.068569
50,23:41:29,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.423031163582316,46.423031163582316,3.5769688364176737,3.5769688364176737,302.99313136219405,293.00859913703954,0.16670060871723077,7.153937672835353,2.78e-06,50.0,3.2e-05,0.068378
51,23:41:30,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.35875694442322,46.35875694442322,3.641243055576769,3.641243055576769,302.99289337632183,293.00859893234355,0.16670062071998154,7.282486111153541,2.78e-06,50.0,3.2e-05,0.068189
52,23:41:31,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.29474279138863,46.29474279138863,3.70525720861136,3.70525720861136,302.9926542180687,293.0085987266373,0.16670063271606775,7.410514417222725,2.78e-06,50.0,3.2e-05,0.068001
53,23:41:32,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.23098739357884,46.23098739357884,3.769012606421145,3.769012606421145,302.99241390496485,293.008598519936,0.16670064470549312,7.538025212842303,2.78e-06,50.0,3.2e-05,0.067813
54,23:41:33,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.16748944852393,46.16748944852393,3.8325105514760547,3.8325105514760547,302.9921724543776,293.0085983122545,0.16670065668826134,7.66502110295213,2.78e-06,50.0,3.2e-05,0.067627
55,23:41:34,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.10424766211616,46.10424766211616,3.895752337883827,3.895752337883827,302.9919298835128,293.00859810360777,0.1667006686643761,7.791504675767669,2.78e-06,50.0,3.2e-05,0.067442
56,23:41:35,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,46.04126074854307,46.04126074854307,3.9587392514569246,3.9587392514569246,302.9916862094162,293.0085978940103,0.1667006806338411,7.9174785029138555,2.78e-06,50.0,3.2e-05,0.067258
57,23:41:36,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.97852743022118,45.97852743022118,4.021472569778812,4.021472569778812,302.9914414489748,293.00859768347675,0.16670069259666007,8.042945139557634,2.78e-06,50.0,3.2e-05,0.067074
58,23:41:37,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.916046437730394,45.916046437730394,4.083953562269598,4.083953562269598,302.9911956189186,293.0085974720215,0.16670070455283661,8.167907124539198,2.78e-06,50.0,3.2e-05,0.066892
59,23:41:38,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.85381650974894,45.85381650974894,4.146183490251052,4.146183490251052,302.99094873582163,293.00859725965887,0.1667007165023745,8.29236698050211,2.78e-06,50.0,3.2e-05,0.066711
60,23:41:39,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.791836392989,45.791836392989,4.208163607010991,4.208163607010991,302.99070081610336,293.0085970464029,0.16670072844527736,8.41632721402199,2.78e-06,50.0,3.2e-05,0.06653
61,23:41:40,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.73010484213293,45.73010484213293,4.26989515786706,4.26989515786706,302.9904518760303,293.00859683226764,0.16670074038154892,8.53979031573412,2.78e-06,50.0,3.2e-05,0.066351
62,23:41:41,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.66862061977009,45.66862061977009,4.3313793802299045,4.3313793802299045,302.990201931717,293.008596617267,0.16670075231119286,8.662758760459809,2.78e-06,50.0,3.2e-05,0.066173
63,23:41:42,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.60738249633426,45.60738249633426,4.3926175036657344,4.3926175036657344,302.9899509991277,293.0085964014148,0.16670076423421282,8.78523500733147,2.78e-06,50.0,3.2e-05,0.065995
64,23:41:43,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.54638925004169,45.54638925004169,4.453610749958304,4.453610749958304,302.9896990940773,293.0085961847245,0.1667007761506125,8.907221499916606,2.78e-06,50.0,3.2e-05,0.065819
65,23:41:44,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.485639666829705,45.485639666829705,4.514360333170295,4.514360333170295,302.98944623223315,293.0085959672097,0.1667007880603956,9.028720666340572,2.78e-06,50.0,3.2e-05,0.065643
66,23:41:45,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.42513254029587,45.42513254029587,4.574867459704124,4.574867459704124,302.98919242911586,293.0085957488837,0.1667007999635658,9.149734919408248,2.78e-06,50.0,3.2e-05,0.065468
